category,orig_name,name,longitude,latitude,alley_capacity,jeep_count,average_time_arrival_mins,total_passenger,time_slot,orig_name.1
Mall,CENTRIO MALL,Centrio Mall,461431.1837,938345.2216,5,49,8,68,5:00:00 pm to 7:00:00 pm,CENTRIO MALL
Mall,SM DOWNTOWN PREMIER,SM Downtown Premier,461783.223,938249.0677,5,21,6,23,8:00:00 am to 10:00:00 am,SM DOWNTOWN PREMIER
Mall,SM DOWNTOWN PREMIER,SM Downtown Premier,461783.223,938249.0677,5,31,6,29,10:00:00 am to 12:00:00 pm,SM DOWNTOWN PREMIER
Mall,SM DOWNTOWN PREMIER,SM Downtown Premier,461783.223,938249.0677,5,30,6,28,12:00:00 pm to 3:00:00 pm,SM DOWNTOWN PREMIER
Mall,SM DOWNTOWN PREMIER,SM Downtown Premier,461783.223,938249.0677,5,45,6,58,3:00:00 pm to 5:00:00 pm,SM DOWNTOWN PREMIER
Mall,SM DOWNTOWN PREMIER,SM Downtown Premier,461783.223,938249.0677,5,62,6,58,5:00:00 pm to 7:00:00 pm,SM DOWNTOWN PREMIER
Mall,LIMKETKAI CENTER,Limketkai Center,462012.3708,937923.2243,7,31,3,24,8:00:00 am to 10:00:00 am,LIMKETKAI CENTER
Mall,LIMKETKAI CENTER,Limketkai Center,462012.3708,937923.2243,7,56,3,41,10:00:00 am to 12:00:00 pm,LIMKETKAI CENTER
Mall,LIMKETKAI CENTER,Limketkai Center,462012.3708,937923.2243,7,51,3,44,12:00:00 pm to 3:00:00 pm,LIMKETKAI CENTER
Mall,LIMKETKAI CENTER,Limketkai Center,462012.3708,937923.2243,7,69,3,72,3:00:00 pm to 5:00:00 pm,LIMKETKAI CENTER
Mall,LIMKETKAI CENTER,Limketkai Center,462012.3708,937923.2243,7,72,3,72,5:00:00 pm to 7:00:00 pm,LIMKETKAI CENTER
Mall,GAISANO CITY MALL,Gaisano City Mall,461333.2045,938474.6347,4,22,7,25,8:00:00 am to 10:00:00 am,GAISANO CITY MALL
Mall,GAISANO CITY MALL,Gaisano City Mall,461333.2045,938474.6347,4,42,7,44,10:00:00 am to 12:00:00 pm,GAISANO CITY MALL
Mall,GAISANO CITY MALL,Gaisano City Mall,461333.2045,938474.6347,4,45,7,52,12:00:00 pm to 3:00:00 pm,GAISANO CITY MALL
Mall,GAISANO CITY MALL,Gaisano City Mall,461333.2045,938474.6347,4,43,7,68,3:00:00 pm to 5:00:00 pm,GAISANO CITY MALL
Mall,GAISANO CITY MALL,Gaisano City Mall,461333.2045,938474.6347,4,67,7,68,5:00:00 pm to 7:00:00 pm,GAISANO CITY MALL
Mall,VISTA MALL (ALLHOMES),Vista Mall (AllHomes),461911.6767,937647.4563,2,22,10,22,8:00:00 am to 10:00:00 am,VISTA MALL (ALLHOMES)
Mall,VISTA MALL (ALLHOMES),Vista Mall (AllHomes),461911.6767,937647.4563,2,32,10,34,10:00:00 am to 12:00:00 pm,VISTA MALL (ALLHOMES)
Mall,VISTA MALL (ALLHOMES),Vista Mall (AllHomes),461911.6767,937647.4563,2,31,10,31,12:00:00 pm to 3:00:00 pm,VISTA MALL (ALLHOMES)
Mall,VISTA MALL (ALLHOMES),Vista Mall (AllHomes),461911.6767,937647.4563,2,38,10,45,3:00:00 pm to 5:00:00 pm,VISTA MALL (ALLHOMES)
Mall,VISTA MALL (ALLHOMES),Vista Mall (AllHomes),461911.6767,937647.4563,2,38,10,45,5:00:00 pm to 7:00:00 pm,VISTA MALL (ALLHOMES)
Mall,SM CITY CDO,SM City CDO,461733.3808,938291.5878,7,20,20,24,8:00:00 am to 10:00:00 am,SM CITY CDO
Mall,SM CITY CDO,SM City CDO,461733.3808,938291.5878,7,23,20,37,10:00:00 am to 12:00:00 pm,SM CITY CDO
Mall,SM CITY CDO,SM City CDO,461733.3808,938291.5878,7,18,20,39,12:00:00 pm to 3:00:00 pm,SM CITY CDO
Mall,SM CITY CDO,SM City CDO,461733.3808,938291.5878,7,31,20,52,3:00:00 pm to 5:00:00 pm,SM CITY CDO
Mall,SM CITY CDO,SM City CDO,461733.3808,938291.5878,7,44,20,52,5:00:00 pm to 7:00:00 pm,SM CITY CDO
Mall,GAISANO BULUA,Gaisano Bulua,457221.5715,940407.0521,3,24,14,35,8:00:00 am to 10:00:00 am,GAISANO BULUA
Mall,GAISANO BULUA,Gaisano Bulua,457221.5715,940407.0521,3,27,14,43,10:00:00 am to 12:00:00 pm,GAISANO BULUA
